id,date,market,direction,entry,stop_loss,take_profit,exit_price,quantity,pnl,notes
1,2025-02-05 23:47:57.577738,Nifty 50,Buy,18195.75,18013.79,18559.66,18013.79,1.0,-181.96,Stop loss hit. Market reversed.
2,2025-02-07 23:47:57.577738,BankNifty,Buy,17778.45,17600.66,18430.1,18430.1,1.0,651.66,Target hit. Followed setup.
3,2025-02-11 23:47:57.577738,Tesla,Buy,148.26,146.77,151.61,151.61,1.0,3.35,Target hit. Followed setup.
4,2025-02-13 23:47:57.577738,Apple,Sell,148.42,149.91,144.25,144.25,1.0,4.17,Target hit. Followed setup.
5,2025-02-17 23:47:57.577738,Ethereum,Sell,147.28,148.75,144.33,148.75,1.0,-1.47,Stop loss hit. Market reversed.
6,2025-02-20 23:47:57.577738,Tesla,Buy,145.76,144.31,151.53,151.53,1.0,5.77,Target hit. Followed setup.
7,2025-02-21 23:47:57.577738,BankNifty,Buy,17585.64,17409.79,18266.6,18266.6,1.0,680.95,Target hit. Followed setup.
8,2025-02-25 23:47:57.577738,Ethereum,Sell,151.13,152.64,148.49,148.49,1.0,2.64,Target hit. Followed setup.
9,2025-03-01 23:47:57.577738,Nifty 50,Buy,18406.88,18222.81,18862.94,18862.94,1.0,456.06,Target hit. Followed setup.
10,2025-03-03 23:47:57.577738,EUR/USD,Sell,151.12,152.63,146.89,146.89,1.0,4.23,Target hit. Followed setup.
11,2025-03-06 23:47:57.577738,Nifty 50,Sell,17215.8,17387.96,16871.48,17387.96,1.0,-172.16,Stop loss hit. Market reversed.
12,2025-03-10 23:47:57.577738,EUR/USD,Buy,146.87,145.4,149.79,149.79,1.0,2.92,Target hit. Followed setup.
13,2025-03-11 23:47:57.577738,Tesla,Sell,151.42,152.93,148.39,152.93,1.0,-1.51,Stop loss hit. Market reversed.
14,2025-03-15 23:47:57.577738,Bitcoin,Sell,40527.35,40932.63,39716.81,40932.63,1.0,-405.27,Stop loss hit. Market reversed.
15,2025-03-17 23:47:57.577738,Bitcoin,Buy,40465.7,40061.04,41275.01,40061.04,1.0,-404.66,Stop loss hit. Market reversed.
16,2025-03-20 23:47:57.577738,BankNifty,Buy,18319.59,18136.39,18685.98,18136.39,1.0,-183.2,Stop loss hit. Market reversed.
17,2025-03-24 23:47:57.577738,Bitcoin,Sell,40265.01,40667.66,39597.06,39597.06,1.0,667.95,Target hit. Followed setup.
18,2025-03-28 23:47:57.577738,Tesla,Sell,152.93,154.46,149.87,154.46,1.0,-1.53,Stop loss hit. Market reversed.
19,2025-03-30 23:47:57.577738,BankNifty,Buy,17626.38,17450.12,17978.91,17450.12,1.0,-176.26,Stop loss hit. Market reversed.
20,2025-04-01 23:47:57.577738,Apple,Sell,149.77,151.27,146.57,146.57,1.0,3.21,Target hit. Followed setup.
21,2025-04-06 23:47:57.577738,Bitcoin,Buy,39681.09,39284.28,40307.48,40307.48,1.0,626.39,Target hit. Followed setup.
22,2025-04-09 23:47:57.577738,Bitcoin,Sell,39951.31,40350.82,39152.28,40350.82,1.0,-399.51,Stop loss hit. Market reversed.
23,2025-04-11 23:47:57.577738,Apple,Buy,152.62,151.09,158.5,158.5,1.0,5.89,Target hit. Followed setup.
24,2025-04-15 23:47:57.577738,BankNifty,Buy,18823.4,18635.17,19543.25,19543.25,1.0,719.85,Target hit. Followed setup.
25,2025-04-16 23:47:57.577738,Tesla,Buy,149.68,148.19,153.49,153.49,1.0,3.8,Target hit. Followed setup.
26,2025-04-20 23:47:57.577738,BankNifty,Sell,17656.08,17832.64,17302.95,17832.64,1.0,-176.56,Stop loss hit. Market reversed.
27,2025-04-22 23:47:57.577738,Gold,Sell,1989.73,2009.63,1919.2,1919.2,1.0,70.54,Target hit. Followed setup.
28,2025-04-25 23:47:57.577738,BankNifty,Buy,17867.58,17688.91,18374.17,18374.17,1.0,506.59,Target hit. Followed setup.
29,2025-04-29 23:47:57.577738,Apple,Buy,148.97,147.48,151.95,147.48,1.0,-1.49,Stop loss hit. Market reversed.
